0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,"0,1,0,0","1,1,0,0","1,1,0,0","0,1,0,0","0,2,0,0","0,2,0,0","0,2,0,0","0,3,0,0","0,3,0,1","0,3,0,2","0,3,0,3","0,3,0,4","0,3,0,5","0,3,0,6","0,3,0,7","0,3,0,8","0,3,0,9","0,3,0,10","0,3,0,11","0,3,0,12","0,3,0,13","0,3,0,14","0,3,0,15","0,3,0,16","0,3,0,17","0,3,0,18","0,3,0,19","0,3,0,20","0,3,0,21","0,3,0,22","0,3,0,23","0,3,0,24","0,3,0,25","0,3,0,26","0,3,0,27","0,3,0,28","0,3,0,29","0,3,0,30"
5,,,,,"1,1,0,0","1,0,0,0","1,1,0,0","1,1,0,0","1,1,0,0","0,2,0,0","0,2,0,0","0,2,0,0","0,2,0,1","0,3,0,1","0,3,0,2","0,3,0,3","0,3,0,4","0,3,0,5","0,3,0,6","0,3,0,7","0,3,0,8","0,3,0,9","0,3,0,10","0,3,0,11","0,3,0,12","0,3,0,13","0,3,0,14","0,3,0,15","0,3,0,16","0,3,0,17","0,3,0,18","0,3,0,19","0,3,0,20","0,3,0,21","0,3,0,22","0,3,0,23","0,3,0,24","0,3,0,25","0,3,0,26","0,3,0,27","0,3,0,28"
6,,,,,,"1,1,0,0","1,0,0,0","1,1,0,0","1,1,0,0","1,1,0,0","1,1,0,0","0,2,0,0","0,3,0,0","0,3,0,0","0,3,0,0","0,3,0,1","0,3,0,2","0,3,0,3","0,3,0,5","0,3,0,6","0,3,0,7","0,3,0,8","0,3,0,9","0,3,0,10","0,3,0,11","0,3,0,12","0,3,0,13","0,3,0,14","0,3,0,15","0,3,0,16","0,3,0,17","0,3,0,18","0,3,0,19","0,3,0,20","0,3,0,21","0,3,0,22","0,3,0,23","0,3,0,24","0,3,0,24","0,3,0,25","0,3,0,26"
7,,,,,,,"1,1,0,0","1,1,0,0","1,1,0,0","1,1,0,0","1,1,1,1","1,1,1,1","1,1,0,0","1,1,0,1","1,1,0,1","0,3,0,0","0,3,0,1","0,3,0,2","0,3,0,3","0,3,0,4","0,3,0,5","0,3,0,6","0,3,0,6","0,3,0,7","0,3,0,8","0,3,0,9","0,3,0,10","0,3,0,11","0,3,0,12","0,3,0,13","0,3,0,14","0,3,0,15","0,3,0,16","0,3,0,17","0,3,0,18","0,3,0,19","0,3,0,20","0,3,0,21","0,3,0,22","0,3,0,23","0,3,0,24"
8,,,,,,,,"1,1,0,0","1,1,1,1","1,1,1,1","1,1,1,1","1,1,1,1","1,1,1,1","1,1,0,0","0,3,0,0","0,3,0,0","0,3,0,1","0,3,0,1","0,3,0,1","0,3,0,2","0,3,0,3","0,3,0,4","0,3,0,5","0,3,0,6","0,3,0,7","0,3,0,8","0,3,0,9","0,3,0,10","0,3,0,11","0,3,0,12","0,3,0,13","0,3,0,14","0,3,0,15","0,3,0,16","0,3,0,17","0,3,0,18","0,3,0,19","0,3,0,20","0,3,0,21","0,3,0,22","0,3,0,23"
9,,,,,,,,,"1,1,1,1","1,1,1,1","1,1,1,1","1,1,1,1","1,1,1,1","1,1,1,1","1,1,1,1","1,1,0,0","0,3,0,0","0,3,0,0","0,3,0,1","0,3,0,1","0,3,0,2","0,3,0,3","0,3,0,4","0,3,0,5","0,3,0,6","0,3,0,7","0,3,0,8","0,3,0,9","0,3,0,10","0,3,0,11","0,3,0,12","0,3,0,13","0,3,0,14","0,3,0,15","0,3,0,16","0,3,0,17","0,3,0,18","0,3,0,19","0,3,0,20","0,3,0,21","0,3,0,22"
10,,,,,,,,,,"1,1,1,1","1,1,1,1","1,1,1,1","1,1,1,1","1,1,1,1","1,1,1,1","1,1,1,1","0,3,0,0","1,2,1,1","1,2,1,2","0,3,0,1","0,3,0,1","0,3,0,1","0,3,0,2","0,3,0,3","0,3,0,4","0,3,0,5","0,3,0,6","0,3,0,7","0,3,0,8","0,3,0,10","0,3,0,11","0,3,0,12","0,3,0,13","0,3,0,14","0,3,0,15","0,3,0,16","0,3,0,17","0,3,0,18","0,3,0,19","0,3,0,20","0,3,0,21"
